TITLE,IDENTIFIER
Crude Birth Rate - India,DMCBRINABSGLA
Total Population by Sex - India,DMPOPINABSGLA
Crude Death Rate - India,DMCDRINABSGLA
Infant Mortality Rate  - India,DMIMRINABSGLA
Life Expectancy at Birth - India,DMLEBINABSGLA
Median Age of Population - India,DMMEAINABSGLA
Population Density - India,DMPODINABSGLA
Total Fertility Rate - India,DMTFRINABSGLA
Sex Ratio of the Total Population - India,DMSERINABSGLA
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Helper in household enterprise",LAPLEMCATH11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Own account employer",LAPLEMCATO11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Regular wage, salaried",LAPLEMCATR11A
"Percentage distribution of workers by usual employment status - All Areas, Both Genders - Self Employed",LAPLEMCATS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Helper in household enterprise",LAPLEMCRFH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Own account employer",LAPLEMCRFO11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Regular wage, salaried",LAPLEMCRFR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Self Employed",LAPLEMCRFS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Casual labour",LAPLEMCRMC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Helper in household enterprise",LAPLEMCRMH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Own account employer",LAPLEMCRMO11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Regular wage, salaried",LAPLEMCRMR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Male - Self Employed",LAPLEMCRMS11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Casual labour",LAPLEMCRTC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Helper in household enterprise",LAPLEMCRTH11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Regular wage, salaried",LAPLEMCRTR11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Self Employed",LAPLEMCRTS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Casual labour",LAPLEMCUFC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Helper in household enterprise",LAPLEMCUFH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Own account employer",LAPLEMCUFO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Regular wage, salaried",LAPLEMCUFR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Female - Self Employed",LAPLEMCUFS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Helper in household enterprise",LAPLEMCUMH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Own account employer",LAPLEMCUMO11A
"Average earnings per month for regular salaried workers - Female, Urban Areas",LAPLAESAFU11A
"Percentage distribution of workers by usual employment status - Rural Areas, Female - Casual labour",LAPLEMCRFC11A
"Percentage distribution of workers by usual employment status - Rural Areas, Both Genders - Own account employer",LAPLEMCRTO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Casual labour",LAPLEMCUMC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Regular wage, salaried",LAPLEMCUMR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Male - Self Employed",LAPLEMCUMS11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Casual labour",LAPLEMCUTC11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Helper in household enterprise",LAPLEMCUTH11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Own account employer",LAPLEMCUTO11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Regular wage, salaried",LAPLEMCUTR11A
"Percentage distribution of workers by usual employment status - Urban Areas, Both Genders - Self Employed",LAPLEMCUTS11A
"Labour Force Participation Rate - All Regions - Both Genders, All Age Groups",LAPLLPAAAG11A
"Labour Force Participation Rate - All Regions - Both Genders, (15 - 59 years)",LAPLLPAAFF11A
"Labour Force Participation Rate - All Regions - Both Genders, (15+ age)",LAPLLPAAFP11A
"Labour Force Participation Rate - All Regions - Both Genders, (15 - 29 years)",LAPLLPAAFT11A
"Labour Force Participation Rate - All Regions - Female, All Age Groups",LAPLLPAFAG11A
"Labour Force Participation Rate - All Regions - Female, (15 - 59 years)",LAPLLPAFFF11A
"Labour Force Participation Rate - All Regions - Female, (15+ age)",LAPLLPAFFP11A
"Labour Force Participation Rate - All Regions - Female, (15 - 29 years)",LAPLLPAFFT11A
"Labour Force Participation Rate - All Regions - Male, All Age Groups",LAPLLPAMAG11A
"Labour Force Participation Rate - All Regions - Male, (15 - 59 years)",LAPLLPAMFF11A
"Labour Force Participation Rate - All Regions - Male, (15+ age)",LAPLLPAMFP11A
"Labour Force Participation Rate - All Regions - Male, (15 - 29 years)",LAPLLPAMFT11A
"Labour Force Participation Rate - Rural - Both Genders, All Age Groups",LAPLLPRAAG11A
"Labour Force Participation Rate - Rural - Both Genders, (15+ age)",LAPLLPRAFP11A
"Labour Force Participation Rate - Rural - Both Genders, (15 - 29 years)",LAPLLPRAFT11A
"Labour Force Participation Rate - Rural - Female, All Age Groups",LAPLLPRFAG11A
"Labour Force Participation Rate - Rural - Female, (15 - 59 years)",LAPLLPRFFF11A
"Labour Force Participation Rate - Rural - Female, (15+ age)",LAPLLPRFFP11A
"Labour Force Participation Rate - Rural - Female, (15 - 29 years)",LAPLLPRFFT11A
"Labour Force Participation Rate - Rural - Male, All Age Groups",LAPLLPRMAG11A
"Labour Force Participation Rate - Rural - Male, (15 - 59 years)",LAPLLPRMFF11A
"Labour Force Participation Rate - Rural - Male, (15+ age)",LAPLLPRMFP11A
"Labour Force Participation Rate - Rural - Male, (15 - 29 years)",LAPLLPRMFT11A
"Labour Force Participation Rate - Urban - Both Genders, All Age Groups",LAPLLPUAAG11A
"Labour Force Participation Rate - Urban - Both Genders, (15 - 59 years)",LAPLLPUAFF11A
"Labour Force Participation Rate - Urban - Both Genders, (15+ age)",LAPLLPUAFP11A
"Labour Force Participation Rate - Urban - Both Genders, (15 - 29 years)",LAPLLPUAFT11A
"Labour Force Participation Rate - Urban - Female, All Age Groups",LAPLLPUFAG11A
"Labour Force Participation Rate - Urban - Female, (15 - 59 years)",LAPLLPUFFF11A
"Labour Force Participation Rate - Urban - Female, (15+ age)",LAPLLPUFFP11A
"Labour Force Participation Rate - Urban - Female, (15 - 29 years)",LAPLLPUFFT11A
"Labour Force Participation Rate - Urban - Male, All Age Groups",LAPLLPUMAG11A
"Labour Force Participation Rate - Urban - Male, (15 - 59 years)",LAPLLPUMFF11A
"Labour Force Participation Rate - Urban - Male, (15+ age)",LAPLLPUMFP11A
"Labour Force Participation Rate - Urban - Male, (15 - 29 years)",LAPLLPUMFT11A
"Unemployment Rate - All Regions - Both Genders, All Age Groups",LAPLURAAAG11A
"Unemployment Rate - All Regions - Both Genders, (15 - 59 years)",LAPLURAAFF11A
"Unemployment Rate - All Regions - Both Genders, (15+ age)",LAPLURAAFP11A
"Unemployment Rate - All Regions - Both Genders, (15 - 29 years)",LAPLURAAFT11A
"Unemployment Rate - All Regions - Female, All Age Groups",LAPLURAFAG11A
"Unemployment Rate - All Regions - Female, (15 - 59 years)",LAPLURAFFF11A
"Unemployment Rate - All Regions - Female, (15+ age)",LAPLURAFFP11A
"Unemployment Rate - All Regions - Female, (15 - 29 years)",LAPLURAFFT11A
"Unemployment Rate - All Regions - Male, All Age Groups",LAPLURAMAG11A
"Unemployment Rate - All Regions - Male, (15 - 59 years)",LAPLURAMFF11A
"Unemployment Rate - All Regions - Male, (15+ age)",LAPLURAMFP11A
"Unemployment Rate - All Regions - Male, (15 - 29 years)",LAPLURAMFT11A
"Unemployment Rate - Rural - Both Genders, All Age Groups",LAPLURRAAG11A
"Unemployment Rate - Rural - Both Genders, (15 - 59 years)",LAPLURRAFF11A
"Unemployment Rate - Rural - Both Genders, (15+ age)",LAPLURRAFP11A
"Unemployment Rate - Rural - Both Genders, (15 - 29 years)",LAPLURRAFT11A
"Unemployment Rate - Rural - Female, All Age Groups",LAPLURRFAG11A
"Unemployment Rate - Rural - Female, (15 - 59 years)",LAPLURRFFF11A
"Unemployment Rate - Rural - Female, (15+ age)",LAPLURRFFP11A
"Unemployment Rate - Rural - Female, (15 - 29 years)",LAPLURRFFT11A
"Unemployment Rate - Rural - Male, All Age Groups",LAPLURRMAG11A
"Unemployment Rate - Rural - Male, (15 - 59 years)",LAPLURRMFF11A
"Unemployment Rate - Rural - Male, (15+ age)",LAPLURRMFP11A
"Unemployment Rate - Rural - Male, (15 - 29 years)",LAPLURRMFT11A
"Unemployment Rate - Urban - Both Genders, All Age Groups",LAPLURUAAG11A
"Unemployment Rate - Urban - Both Genders, (15 - 59 years)",LAPLURUAFF11A
"Unemployment Rate - Urban - Both Genders, (15+ age)",LAPLURUAFP11A
"Unemployment Rate - Urban - Both Genders, (15 - 29 years)",LAPLURUAFT11A
"Unemployment Rate - Urban - Female, All Age Groups",LAPLURUFAG11A
"Unemployment Rate - Urban - Female, (15 - 59 years)",LAPLURUFFF11A
"Unemployment Rate - Urban - Female, (15+ age)",LAPLURUFFP11A
"Unemployment Rate - Urban - Female, (15 - 29 years)",LAPLURUFFT11A
"Unemployment Rate - Urban - Male, All Age Groups",LAPLURUMAG11A
"Unemployment Rate - Urban - Male, (15 - 59 years)",LAPLURUMFF11A
"Unemployment Rate - Urban - Male, (15+ age)",LAPLURUMFP11A
"Unemployment Rate - Urban - Male, (15 - 29 years)",LAPLURUMFT11A
"Worker Population Ratio - All Regions - Both Genders, All Age Groups",LAPLWPAAAG11A
"Worker Population Ratio - All Regions - Both Genders, (15 - 59 years)",LAPLWPAAFF11A
"Worker Population Ratio - All Regions - Both Genders, (15+ age)",LAPLWPAAFP11A
"Worker Population Ratio - All Regions - Both Genders, (15 - 29 years)",LAPLWPAAFT11A
"Worker Population Ratio - All Regions - Female, All Age Groups",LAPLWPAFAG11A
"Worker Population Ratio - All Regions - Female, (15 - 59 years)",LAPLWPAFFF11A
"Worker Population Ratio - All Regions - Female, (15+ age)",LAPLWPAFFP11A
"Worker Population Ratio - All Regions - Female, (15 - 29 years)",LAPLWPAFFT11A
"Worker Population Ratio - All Regions - Male, All Age Groups",LAPLWPAMAG11A
"Worker Population Ratio - All Regions - Male, (15 - 59 years)",LAPLWPAMFF11A
"Worker Population Ratio - All Regions - Male, (15+ age)",LAPLWPAMFP11A
"Worker Population Ratio - All Regions - Male, (15 - 29 years)",LAPLWPAMFT11A
"Worker Population Ratio - Rural - Both Genders, All Age Groups",LAPLWPRAAG11A
"Worker Population Ratio - Rural - Both Genders, (15+ age)",LAPLWPRAFP11A
"Worker Population Ratio - Rural - Both Genders, (15 - 29 years)",LAPLWPRAFT11A
"Worker Population Ratio - Rural - Female, All Age Groups",LAPLWPRFAG11A
"Worker Population Ratio - Rural - Female, (15 - 59 years)",LAPLWPRFFF11A
"Worker Population Ratio - Rural - Female, (15+ age)",LAPLWPRFFP11A
"Worker Population Ratio - Rural - Female, (15 - 29 years)",LAPLWPRFFT11A
"Worker Population Ratio - Rural - Male, All Age Groups",LAPLWPRMAG11A
"Worker Population Ratio - Rural - Male, (15 - 59 years)",LAPLWPRMFF11A
"Worker Population Ratio - Rural - Male, (15+ age)",LAPLWPRMFP11A
"Worker Population Ratio - Rural - Male, (15 - 29 years)",LAPLWPRMFT11A
"Worker Population Ratio - Urban - Both Genders, All Age Groups",LAPLWPUAAG11A
"Worker Population Ratio - Urban - Both Genders, (15 - 59 years)",LAPLWPUAFF11A
"Worker Population Ratio - Urban - Both Genders, (15+ age)",LAPLWPUAFP11A
"Worker Population Ratio - Urban - Both Genders, (15 - 29 years)",LAPLWPUAFT11A
"Worker Population Ratio - Urban - Female, All Age Groups",LAPLWPUFAG11A
"Worker Population Ratio - Urban - Female, (15 - 59 years)",LAPLWPUFFF11A
"Worker Population Ratio - Urban - Female, (15+ age)",LAPLWPUFFP11A
"Worker Population Ratio - Urban - Female, (15 - 29 years)",LAPLWPUFFT11A
"Worker Population Ratio - Urban - Male, All Age Groups",LAPLWPUMAG11A
"Worker Population Ratio - Urban - Male, (15 - 59 years)",LAPLWPUMFF11A
"Worker Population Ratio - Urban - Male, (15+ age)",LAPLWPUMFP11A
"Worker Population Ratio - Urban - Male, (15 - 29 years)",LAPLWPUMFT11A
Nominal GVA - Agriculture and Allied Activities (1999-2000 Series),NAGDNAGGVA00A
"Nominal GVA - Agriculture and Allied Activities (1999-2000 Series, Quarterly)",NAGDNAGGVA00Q
Nominal GVA - Agriculture and Allied Activities (2004-05 Series),NAGDNAGGVA05A
"Nominal GVA - Agriculture and Allied Activities (2004-05 Series, Quarterly)",NAGDNAGGVA05Q
Nominal GVA - Agriculture and Allied Activities (2011-12 Series),NAGDNAGGVA12A
"Nominal GVA - Agriculture and Allied Activities (2011-12 Series, Quarterly)",NAGDNAGGVA12Q
Nominal GVA - Agriculture and Allied Activities (1993-94 Series),NAGDNAGGVA94A
"Nominal GDP (Quarterly, Blended)",NAGDNBLGDP11Q
Nominal Gross Value Added (Blended),NAGDNBLGVA11A
"Nominal GVA (Quarterly, Blended)",NAGDNBLGVA11Q
"Nominal GVA - Construction (1999-2000 Series, Quarterly)",NAGDNCOGVA00Q
"Nominal GVA - Construction (2004-05 Series, Quarterly)",NAGDNCOGVA05Q
"Nominal GVA - Construction (2011-12 Series, Quarterly)",NAGDNCOGVA12Q
"Nominal GVA - Financial, Real Estate & Professional Services (1999-2000 Series, Quarterly)",NAGDNFPGVA00Q
"Nominal GVA - Financial, Real Estate & Professional Services (2004-05 Series, Quarterly)",NAGDNFPGVA05Q
"Nominal GVA - Financial, Real Estate & Professional Services (2011-12 Series, Quarterly)",NAGDNFPGVA12Q
"Nominal GDP excluding Government Consumption (1999-2000 Series, Quarterly)",NAGDNGDPXD00Q
"Nominal GDP excluding Government Consumption (2011-12 Series, Quarterly)",NAGDNGDPXD12Q
"Labour Force Participation Rate - Rural - Both Genders, (15 - 59 years)",LAPLLPRAFF11A
"Nominal GDP excluding Government Consumption (2004-05 Series, Quarterly)",NAGDNGDPXD05Q
"Nominal GDP excluding Statistical discrepancies (1999-2000 Series, Quarterly)",NAGDNGDPXG00Q
"Nominal GDP excluding Statistical discrepancies (2004-05 Series, Quarterly)",NAGDNGDPXG05Q
"Nominal GDP excluding Statistical discrepancies (2011-12 Series, Quarterly)",NAGDNGDPXG12Q
Nominal GDP excluding Government Final Consumption (2004-05 Series),NAGDNGPXGC05A
Nominal GDP excluding Government Final Consumption (2011-12 Series),NAGDNGPXGC12A
Nominal GDP excluding Statistical Discrepancies (2004-05 Series),NAGDNGPXSD05A
Nominal GDP excluding Statistical Discrepancies (2011-12 Series),NAGDNGPXSD12A
"Nominal GVA - Excluding Agriculture and Allied Activities (1999-2000 Series, Quarterly)",NAGDNGVAXA00Q
"Nominal GVA - Excluding Agriculture and Allied Activities (2004-05 Series, Quarterly)",NAGDNGVAXA05Q
"Nominal GVA - Excluding Agriculture and Allied Activities (2011-12 Series, Quarterly)",NAGDNGVAXA12Q
Nominal GVA - Industry (1999-2000 Series),NAGDNINGVA00A
"Nominal GVA - Industry (1999-2000 Series, Quarterly)",NAGDNINGVA00Q
Nominal GVA - Industry (2004-05 Series),NAGDNINGVA05A
"Nominal GVA - Industry (2004-05 Series, Quarterly)",NAGDNINGVA05Q
"Nominal GVA - Industry (2011-12 Series, Quarterly)",NAGDNINGVA12Q
Nominal GVA - Industry (1993-94 Series),NAGDNINGVA94A
"Nominal GVA - Manufacturing (1999-2000 Series, Quarterly)",NAGDNMAGVA00Q
"Nominal GVA - Manufacturing (2004-05 Series, Quarterly)",NAGDNMAGVA05Q
"Nominal GVA - Manufacturing (2011-12 Series, Quarterly)",NAGDNMAGVA12Q
"Nominal GVA - Mining and Quarrying (1999-2000 Series, Quarterly)",NAGDNMIGVA00Q
"Nominal GVA - Mining and Quarrying (2004-05 Series, Quarterly)",NAGDNMIGVA05Q
"Nominal GVA - Mining and Quarrying (2011-12 Series, Quarterly)",NAGDNMIGVA12Q
Nominal GVA - Agriculture (2004-05 series),NAGDNOAGRI05A
Nominal GVA - Air transport (2011-12 series),NAGDNOAIRT12A
Nominal GVA - Banking and Insurance (2004-05 series),NAGDNOBKIN05A
Nominal GVA - Communication (2004-05 series),NAGDNOCOMU05A
Nominal GVA - Communication & Services Related to Broadcasting (2011-12 series),NAGDNOCOMU12A
Nominal GVA - Construction (2004-05 series),NAGDNOCONS05A
Nominal GVA - Construction (2011-12 series),NAGDNOCONS12A
Nominal GVA - Crops (2011-12 series),NAGDNOCROP12A
"Nominal GVA - Community, Social and Personal Services (2004-05 series)",NAGDNOCSPS05A
Nominal GVA - Financial services (2011-12 series),NAGDNOFINA12A
"Nominal GVA - Financial services, Real estate, Professional services (2011-12 series)",NAGDNOFIRP12A
Nominal GVA - Fishing (2004-05 series),NAGDNOFISH05A
Nominal GVA - Fishing and Aquaculture (2011-12 series),NAGDNOFISH12A
Nominal GVA - Forestry and Logging (2004-05 series),NAGDNOFOLO05A
Nominal GVA - Forestry and Logging (2011-12 series),NAGDNOFOLO12A
"Nominal GVA - Food Products, Beverages and Tobacco (2011-12 series)",NAGDNOFOOD12A
"Nominal GVA - Financial Services, Real Estate and Business Services (2004-05 series)",NAGDNOFRBS05A
Nominal GVA excluding Agriculture (2011-12 Series),NAGDNOGVXA12A
Nominal GVA excluding Government Services (2011-12 Series),NAGDNOGVXG12A
Nominal GVA - Hotels and Restaurants (2004-05 series),NAGDNOHOTE05A
Nominal GVA - Hotels & Restaurants (2011-12 series),NAGDNOHOTE12A
Nominal GVA - Livestock (2011-12 series),NAGDNOLIVE12A
Nominal GVA - Machinery and Equipment (2011-12 series),NAGDNOMACH12A
Nominal GVA - Manufacturing (2004-05 series),NAGDNOMANU05A
Nominal GVA - Manufacturing (2011-12 series),NAGDNOMANU12A
Nominal GVA - Metal Products (2011-12 series),NAGDNOMETL12A
"Nominal GDP (1999-2000 Series, Quarterly)",NAGDNOMGDP00Q
"Nominal GDP (2004-05 Series, Quarterly)",NAGDNOMGDP05Q
Nominal GDP (2011-12 Series),NAGDNOMGDP12A
"Nominal GDP (2011-12 Series, Quarterly)",NAGDNOMGDP12Q
"Nominal GVA (1999-2000 Series, Quarterly)",NAGDNOMGVA00Q
Nominal GVA (2004-05 Series),NAGDNOMGVA05A
"Nominal GVA (2004-05 Series, Quarterly)",NAGDNOMGVA05Q
Nominal GVA (2011-12 Series),NAGDNOMGVA12A
"Nominal GVA (2011-12 Series, Quarterly)",NAGDNOMGVA12Q
Nominal GVA (1980-81 Series),NAGDNOMGVA81A
Nominal GVA (1993-94 Series),NAGDNOMGVA94A
Nominal GVA - Mining & Quarrying (2004-05 series),NAGDNOMINE05A
Nominal GVA - Mining and quarrying (2011-12 series),NAGDNOMINE12A
Nominal GVA - Other Manufactured Goods (2011-12 series),NAGDNOOMFG12A
Nominal GVA -  Other Services (2004-05 series),NAGDNOOTSV05A
Nominal GVA - Other services (2011-12 series),NAGDNOOTSV12A
Nominal GVA - Other Transport (2004-05 series),NAGDNOOTTR05A
Nominal GVA -  Public Administration and Defence (2004-05 series),NAGDNOPAAD05A
Nominal GVA - Public administration and defence (2011-12 series),NAGDNOPAAD12A
"Nominal GVA - Public Administration, Defence, Other Services (2011-12 series)",NAGDNOPADO12A
"Nominal GVA - Real estate, Professional services (2011-12 series)",NAGDNOPROP12A
Nominal GVA - Railways (2004-05 series),NAGDNORAIL05A
Nominal GVA - Railways (2011-12 series),NAGDNORAIL12A
Nominal GVA -  Real Estate and Business Services (2004-05 series),NAGDNOREBS05A
Nominal GDP (2004-05 Series),NAGDNOMGDP05A
Nominal GVA - Registered Manufacturing (2004-05 series),NAGDNOREMF05A
Nominal GVA - Road transport (2011-12 series),NAGDNOROAD12A
Nominal GVA - Storage (2004-05 series),NAGDNOSTOR05A
Nominal GVA - Storage (2011-12 series),NAGDNOSTOR12A
"Nominal GVA - Textiles, Apparel and Leather Products (2011-12 series)",NAGDNOTEXT12A
"Nominal GVA - Trade, Hotels, Transport, Communication (2011-12 series)",NAGDNOTHTC12A
Nominal GVA - Trade (2004-05 series),NAGDNOTRAD05A
Nominal GVA - Trade & Repair Services (2011-12 series),NAGDNOTRAD12A
"Nominal GVA - Transport, Storage and Communication (2004-05 series)",NAGDNOTRCO05A
"Nominal GVA - Transport, Storage, Communication and Broadcasting (2011-12 series)",NAGDNOTRCO12A
"Nominal GVA - Trade, Hotels and Restaurant (2004-05 series)",NAGDNOTRHO05A
"Nominal GVA - Trade, repair, hotels and restaurants (2011-12 series)",NAGDNOTRHO12A
Nominal GVA - Services Incidental to Transport (2011-12 series),NAGDNOTRSV12A
"Nominal GVA - Electricity, Gas and Other Utilities (2004-05 series)",NAGDNOUTIL05A
"Nominal GVA - Electricity, Gas and Other Utilities (2011-12 series)",NAGDNOUTIL12A
Nominal GVA - Water transport (2011-12 series),NAGDNOWATR12A
"Nominal GVA - Public Administration, Defence & Other Services (1999-2000 Series, Quarterly)",NAGDNPAGVA00Q
"Nominal GVA - Public Administration, Defence & Other Services (2004-05 Series, Quarterly)",NAGDNPAGVA05Q
"Nominal GVA - Public Administration, Defence & Other Services (2011-12 Series, Quarterly)",NAGDNPAGVA12Q
Per Capita Nominal GDP (2004-05 Series),NAGDNPCGDP05A
Per Capita Nominal GDP (2011-12 Series),NAGDNPCGDP12A
Per Capita Nominal Gross Value Added (GVA) (Blended series),NAGDNPCGVA99A
Per Capita Nominal PFCE (2011-12 series),NAGDNPCPCE12A
"Nominal Change in Inventories (1999-2000 Series, Quarterly)",NAGDNSCIIA00Q
Nominal Change in Inventories (2004-05 Series),NAGDNSCIIA05A
"Nominal Change in Inventories (2004-05 Series, Quarterly)",NAGDNSCIIA05Q
Nominal Change in Inventories (2011-12 Series),NAGDNSCIIA12A
"Nominal Change in Inventories (2011-12 Series, Quarterly)",NAGDNSCIIA12Q
"Nominal Change in Valuables (1999-2000 Series, Quarterly)",NAGDNSCIVA00Q
Nominal Change in Valuables (2004-05 Series),NAGDNSCIVA05A
"Nominal Change in Valuables (2004-05 Series, Quarterly)",NAGDNSCIVA05Q
Nominal Change in Valuables (2011-12 Series),NAGDNSCIVA12A
"Nominal Change in Valuables (2011-12 Series, Quarterly)",NAGDNSCIVA12Q
"Nominal Gross Capital Formation (1999-2000 Series, Quarterly)",NAGDNSGCFA00Q
Nominal Gross Capital Formation (2004-05 Series),NAGDNSGCFA05A
"Nominal Gross Capital Formation (2004-05 Series, Quarterly)",NAGDNSGCFA05Q
Nominal Gross Capital Formation (2011-12 Series),NAGDNSGCFA12A
"Nominal Gross Capital Formation (2011-12 Series, Quarterly)",NAGDNSGCFA12Q
Nominal Government Final Consumption Expenditure (2004-05 Series),NAGDNSGFCE05A
"Nominal Government Final Consumption Expenditure (2004-05 Series, Quarterly)",NAGDNSGFCE05Q
Nominal Government Final Consumption Expenditure (2011-12 Series),NAGDNSGFCE12A
"Nominal Government Final Consumption Expenditure (2011-12 Series, Quarterly)",NAGDNSGFCE12Q
"Nominal Statistical Discrepancies (1999-2000 Series, Quarterly)",NAGDNSSTDS00Q
Nominal Statistical Discrepancies (2004-05 Series),NAGDNSSTDS05A
"Nominal Statistical Discrepancies (2004-05 Series, Quarterly)",NAGDNSSTDS05Q
Nominal Statistical Discrepancies (2011-12 Series),NAGDNSSTDS12A
"Nominal Statistical Discrepancies (2011-12 Series, Quarterly)",NAGDNSSTDS12Q
Nominal GVA - Services (1999-2000 Series),NAGDNSVGVA00A
"Nominal GVA - Services (1999-2000 Series, Quarterly)",NAGDNSVGVA00Q
"Nominal Government Final Consumption Expenditure (1999-2000 Series, Quarterly)",NAGDNSGFCE00Q
Nominal GVA - Services (2004-05 Series),NAGDNSVGVA05A
"Nominal GVA - Services (2004-05 Series, Quarterly)",NAGDNSVGVA05Q
Nominal GVA - Services (2011-12 Series),NAGDNSVGVA12A
"Nominal GVA - Services (2011-12 Series, Quarterly)",NAGDNSVGVA12Q
Nominal GVA - Services (1993-94 Series),NAGDNSVGVA94A
"Nominal GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (1999-2000 Series, Quarterly)",NAGDNTTGVA00Q
"Nominal GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (2004-05 Series, Quarterly)",NAGDNTTGVA05Q
"Nominal GVA - Trade, Transport, Hotels, Communication & Broadcasting Services (2011-12 Series, Quarterly)",NAGDNTTGVA12Q
"Nominal GVA - Electricity, Gas, Water & Other Utilities (1999-2000 Series, Quarterly)",NAGDNUTGVA00Q
"Nominal GVA - Electricity, Gas, Water & Other Utilities (2004-05 Series, Quarterly)",NAGDNUTGVA05Q
"Nominal GVA - Electricity, Gas, Water & Other Utilities (2011-12 Series, Quarterly)",NAGDNUTGVA12Q
Real GVA - Agriculture and Allied Activities (1999-2000 Series),NAGDRAGGVA00A
"Real GVA - Agriculture and Allied Activities (1999-2000 Series, Quarterly)",NAGDRAGGVA00Q
Real GVA - Agriculture and Allied Activities (2004-05 Series),NAGDRAGGVA05A
"Real GVA - Agriculture and Allied Activities (2004-05 Series, Quarterly)",NAGDRAGGVA05Q
Real GVA - Agriculture and Allied Activities (2011-12 Series),NAGDRAGGVA12A
"Real GVA - Agriculture and Allied Activities (2011-12 Series, Quarterly)",NAGDRAGGVA12Q
Real GVA - Agriculture and Allied Activities (1993-94 Series),NAGDRAGGVA94A
"Real GDP (Quarterly, Blended)",NAGDRBLGDP11Q
Real Gross Value Added (Blended),NAGDRBLGVA11A
"Real GVA (Quarterly, Blended)",NAGDRBLGVA11Q
"Real GVA - Construction (1999-2000 Series, Quarterly)",NAGDRCOGVA00Q
"Real GVA - Construction (2004-05 Series, Quarterly)",NAGDRCOGVA05Q
"Real GVA - Construction (2011-12 Series, Quarterly)",NAGDRCOGVA12Q
"Real GDP (1999-2000 Series, Quarterly)",NAGDREAGDP00Q
Real GDP (2004-05 Series),NAGDREAGDP05A
"Real GDP (2004-05 Series, Quarterly)",NAGDREAGDP05Q
Real GDP (2011-12 Series),NAGDREAGDP12A
"Real GDP (2011-12 Series, Quarterly)",NAGDREAGDP12Q
Real GVA - Agriculture (2004-05 series),NAGDREAGRI05A
"Real GVA (1999-2000 Series, Quarterly)",NAGDREAGVA00Q
Real GVA (2004-05 Series),NAGDREAGVA05A
"Real GVA (2004-05 Series, Quarterly)",NAGDREAGVA05Q
Real GVA (2011-12 Series),NAGDREAGVA12A
"Real GVA (2011-12 Series, Quarterly)",NAGDREAGVA12Q
Real GVA (1980-81 Series),NAGDREAGVA81A
Real GVA (1993-94 Series),NAGDREAGVA94A
Real GVA - Air transport (2011-12 series),NAGDREAIRT12A
Real GVA - Banking and Insurance (2004-05 series),NAGDREBKIN05A
Real GVA - Communication (2004-05 series),NAGDRECOMU05A
Real GVA - Communication & Services Related to Broadcasting (2011-12 series),NAGDRECOMU12A
Real GVA - Construction (2004-05 series),NAGDRECONS05A
