India/State /UT,Number of Teachers by Gender and Classes Taught - Others - Total - Male,Number of Teachers by Gender and Classes Taught - Others - Total - Female,Number of Teachers by Gender and Classes Taught - Others - Total - Total,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary Only - Male,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary Only - Female,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary Only - Total,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary & Primary - Male,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary & Primary - Female,Number of Teachers by Gender and Classes Taught - Others - Pre-Primary & Primary - Total,Number of Teachers by Gender and Classes Taught - Others - Primary Only - Male,Number of Teachers by Gender and Classes Taught - Others - Primary Only - Female,Number of Teachers by Gender and Classes Taught - Others - Primary Only - Total,Number of Teachers by Gender and Classes Taught - Others - Primary & Upper Primary - Male,Number of Teachers by Gender and Classes Taught - Others - Primary & Upper Primary - Female,Number of Teachers by Gender and Classes Taught - Others - Primary & Upper Primary - Total,Number of Teachers by Gender and Classes Taught - Others - Upper Primary Only - Male,Number of Teachers by Gender and Classes Taught - Others - Upper Primary Only - Female,Number of Teachers by Gender and Classes Taught - Others - Upper Primary Only - Total,Number of Teachers by Gender and Classes Taught - Others - Upper Primary & Secondary - Male,Number of Teachers by Gender and Classes Taught - Others - Upper Primary & Secondary - Female,Number of Teachers by Gender and Classes Taught - Others - Upper Primary & Secondary - Total,Number of Teachers by Gender and Classes Taught - Others - Secondary Only - Male,Number of Teachers by Gender and Classes Taught - Others - Secondary Only - Female,Number of Teachers by Gender and Classes Taught - Others - Secondary Only - Total,Number of Teachers by Gender and Classes Taught - Others - Secondary & Higher Secondary - Male,Number of Teachers by Gender and Classes Taught - Others - Secondary & Higher Secondary - Female,Number of Teachers by Gender and Classes Taught - Others - Secondary & Higher Secondary - Total,Number of Teachers by Gender and Classes Taught - Others - Higher Secondary Only - Male,Number of Teachers by Gender and Classes Taught - Others - Higher Secondary Only - Female,Number of Teachers by Gender and Classes Taught - Others - Higher Secondary Only - Total
India,150668,136731,287399,739,2802,3541,4708,7083,11791,63891,68177,132068,19346,15740,35086,51022,36105,87127,2583,1733,4316,6219,3798,10017,620,278,898,1540,1015,2555
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,230,418,648,0,0,0,2,5,7,82,180,262,105,168,273,26,52,78,8,7,15,7,6,13,0,0,0,0,0,0
Arunachal Pradesh,146,214,360,0,8,8,5,20,25,78,144,222,27,24,51,36,18,54,0,0,0,0,0,0,0,0,0,0,0,0
Assam,12736,6108,18844,1,11,12,86,54,140,7214,3455,10669,69,37,106,2019,854,2873,201,107,308,2451,1147,3598,17,6,23,678,437,1115
Bihar,42568,28987,71555,165,425,590,463,788,1251,8616,8752,17368,7650,4174,11824,24480,14564,39044,323,137,460,551,101,652,81,4,85,239,42,281
Chandigarh,26,271,297,0,42,42,1,19,20,3,92,95,6,36,42,13,53,66,2,17,19,1,3,4,0,8,8,0,1,1
Chhattisgarh,360,570,930,0,1,1,3,0,3,240,364,604,19,30,49,98,175,273,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli and Daman and Diu,25,0,25,0,0,0,0,0,0,9,0,9,2,0,2,2,0,2,0,0,0,5,0,5,4,0,4,3,0,3
Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,10,20,30,0,0,0,0,0,0,3,7,10,0,0,0,1,5,6,1,0,1,2,6,8,0,1,1,3,1,4
Haryana,1466,5097,6563,2,102,104,6,51,57,755,3439,4194,150,374,524,507,1081,1588,8,20,28,21,20,41,13,9,22,4,1,5
Himachal Pradesh,3,2,5,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,368,346,714,6,28,34,21,35,56,167,137,304,60,40,100,80,80,160,12,1,13,20,14,34,0,4,4,2,7,9
Jharkhand,24921,26942,51863,86,546,632,552,1213,1765,9045,13276,22321,4933,4266,9199,9190,6962,16152,532,287,819,514,344,858,8,8,16,61,40,101
Karnataka,16,29,45,0,0,0,0,0,0,5,10,15,2,2,4,6,3,9,0,11,11,3,3,6,0,0,0,0,0,0
Kerala,361,7017,7378,4,357,361,2,55,57,156,4347,4503,35,343,378,120,1698,1818,13,71,84,22,117,139,1,14,15,8,15,23
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2438,3826,6264,3,8,11,13,19,32,1038,1496,2534,278,453,731,1102,1839,2941,2,8,10,1,0,1,0,3,3,1,0,1
Maharashtra,888,3144,4032,6,90,96,26,113,139,430,2038,2468,71,195,266,216,487,703,37,63,100,93,151,244,4,2,6,5,5,10
Manipur,475,772,1247,2,55,57,20,124,144,212,403,615,122,125,247,119,65,184,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,511,1881,2392,6,53,59,45,249,294,122,668,790,43,140,183,57,162,219,24,84,108,166,356,522,3,11,14,45,158,203
Mizoram,233,307,540,1,17,18,4,13,17,41,114,155,24,34,58,35,33,68,0,0,0,86,67,153,0,0,0,42,29,71
Nagaland,3,3,6,0,2,2,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2630,6269,8899,2,66,68,57,258,315,1293,3837,5130,465,1284,1749,332,474,806,109,102,211,301,191,492,11,5,16,60,52,112
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,49,29,78,1,0,1,9,9,18,22,12,34,0,0,0,17,7,24,0,1,1,0,0,0,0,0,0,0,0,0
Rajasthan,4424,2740,7164,8,26,34,55,72,127,3318,2044,5362,325,205,530,546,329,875,81,40,121,47,11,58,28,9,37,16,4,20
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,315,3244,3559,13,308,321,0,101,101,127,1893,2020,60,344,404,60,417,477,13,44,57,16,98,114,13,14,27,13,25,38
Telangana,149,228,377,0,2,2,5,15,20,106,145,251,30,58,88,7,8,15,1,0,1,0,0,0,0,0,0,0,0,0
Tripura,784,292,1076,17,11,28,46,46,92,629,223,852,6,6,12,40,6,46,15,0,15,13,0,13,5,0,5,13,0,13
Uttar Pradesh,47435,31000,78435,11,10,21,53,73,126,28903,19726,48629,4429,3089,7518,10457,6048,16505,1139,679,1818,1736,1051,2787,396,153,549,311,171,482
Uttarakhand,1226,1133,2359,2,10,12,8,14,22,819,751,1570,42,54,96,263,224,487,4,6,10,66,56,122,3,2,5,19,16,35
West Bengal,5872,5842,11714,403,624,1027,3225,3737,6962,453,621,1074,393,259,652,1193,461,1654,58,48,106,97,56,153,33,25,58,17,11,28
